id,Contents,Source,Contributors,Time
55,习惯无常，才会庆幸,落花流水,葡萄成熟时,2025/10/30
56,开始捱一些苦，栽种绝处的花，幸得艰辛的引路甜蜜不致太寡,苦瓜,nebula上的狗老六,2025/10/30
57,这里少了你的笑和眼神，好像什么都蒙上了灰尘,谢谢,cherrie,2025/10/30
58,别当你要奋勇血战无论聪明或愚笨,猜情寻,BroknE0,2025/10/30
59,感谢永远有歌把心境道破,歌颂,BroknE0、ssssssssss、阿猫阿狗,2025/10/30
60,劳力是无止境，活著多好不需要靠物证,陀飞轮,Eco,2025/10/30
61,我默然哀悼 要为谁改造,改造人,BroknE0,2025/10/30
62,尚有些仗全力亦打不上,完,sorry我不在～,2025/10/30
63,大概今生有些事，是提早都不可以明白其妙处,苦瓜,小小❤️e森,2025/10/30
64,叶问问我去边处做Gym,叶问风中转,Abe Poon,2025/10/30
65,日后，尽量别教今天的泪白流,葡萄成熟时,💤,2025/10/30
66,直到和你做了多年朋友，才明白我的眼泪，不是为你而流，也为别人而流 ,十年,一杯冰美式,2025/10/31
67,原谅我这一生不羁放纵爱自由，也会怕有一天会跌倒,海阔天空（原唱Beyond）,大王,2025/10/31
68,轨迹改变角度交错，寂寞城市又再探戈,十面埋伏,AllesEZ4M3,2025/10/31
69,好比火星跟水星相恋，有过灿烂影踪，但你转到某一个时空，失去了互通,黑洞,AllesEZ4M3,2025/10/31
70,今天尽管可始终相拥，眼里却没沟通,黑洞,AllesEZ4M3、MgCl2,2025/10/31
71,祈求繁星终会向着上游，重组整个宇宙,告别娑婆,旺旺掀被,2025/10/31
72,赢得不需要的自由，和最耀眼伤口,葡萄成熟时,Suri,2025/10/31
73,好比火星跟水星相恋，有过灿烂影踪,黑洞,烤全鱼想飞,2025/10/31
74,笑话情节此刻变窝心故事，现时大了那种心跳难重演,粤语残片,U妹～,2025/11/2
75,极灿烂时光，一去难再遇上一次,粤语残片,U妹～,2025/11/2
76,不要紧，山野都有雾灯,任我行,Apr-21、林见雨落长安.,2025/11/2
77,应该怎么爱，可惜书里从没记载,葡萄成熟时,拾叁.,2025/11/2
78,这一秒坐拥晚霞,苦瓜,小刀,2025/11/2
79,就算搏到 伯爵那地位和肖邦的隽永  卖了 任性日拼夜拼   忘掉了为什么高兴,陀飞轮,超绝狗屎拌饭,2025/11/3
80,用我尚有 换我没有 其实已用尽所拥有,陀飞轮,超绝狗屎拌饭,2025/11/3
81,和你也许不会再相拥,绵绵,想吃奶酪包,2025/11/3
82,抬頭吧 相信愛你便能飛 敢交出你會創出傳奇,今日,茹初见,2025/11/3
83,變幻人生是避無可避  卻沒人可驅使愛別離,今日,茹初见,2025/11/3
84,抬頭吧 黑暗過會是晨曦 懷著樂觀總有轉機,今日,茹初见,2025/11/3
85,留住 温度 速度 温柔和愤怒，凝住 今日 怎样 好,沙龙,超绝狗屎拌饭,2025/11/3
86,捉紧 生命浓度 坦白流露 感情和态度，留下 浮光 掠影 飞舞,沙龙,超绝狗屎拌饭,2025/11/3
87,每张 都罕有，拍下过 记住过，好过拥有,沙龙,超绝狗屎拌饭、Abyss,2025/11/3
88,有人性，镜头里总有丰收,沙龙,超绝狗屎拌饭,2025/11/3
89,淡淡交会过，各不留下印，但是经历过最温柔共振,落花流水,超绝狗屎拌饭、小春冰粉.冰汤圆,2025/11/3
90,流水 在山谷下再次分岔，情感 渐化做淡然优雅,落花流水,超绝狗屎拌饭,2025/11/3
91,然后突然今秋 望望身边 应该有 已尽有,陀飞轮,今天也是超棒的momo,2025/11/4
92,幸运儿并不多，若然未当过就知我为何,浮夸,Pretension,2025/11/4
93,用十倍苦心做突出一个，正常人够我富议论性么,浮夸,Pretension,2025/11/4
94,与你进退也共鸣,无条件,全思诚,2025/11/4
95,当睇清世间所有定理又何用再怕,苦瓜,CorLeone^,2025/11/4
96,你和谁结伴前来 是否比我精彩,黄金时代,床骤变荒地,2025/11/4
97,让我对这世界好奇，让我信自己的真理,我的快乐时代,拿牛奶玩玩,2025/11/5
98,生活，别过分的童话化,落花流水,Matcha.,2025/11/6
99,要是，彼此都有些既定路程，学会洒脱，好吗,落花流水,是你的宝贝~,2025/11/6
100,但见旁人谈情何引诱，问到何时葡萄先熟透,葡萄成熟时,猫猫点外卖,2025/11/6
101,从前共你促膝把酒倾通宵都不够，我有痛快过你有没有,最佳损友,C.X.,2025/11/6
102,多想一天彼此都不追究 相邀再次喝酒 待葡萄成熟透,最佳损友,전가민,2025/11/9
103,那时青丝不会用上余生来量度,一丝不挂,阿猫阿狗,2025/11/9
104,霓虹扫过喧哗的街，把快乐赶得好远,圣诞结,信心花舍,2025/11/9
105,从你的套房带走被单是我,防不胜防,为路途留灯影,2025/11/9
106,离开你六十年，但愿能认得出你的子女,明年今日,🐾,2025/11/9
107,在大笑后哭泣，熟悉过然后陌生，但并未陌路在皮肤碰面是皱纹,Stranger Under My Skin,我们万岁,2025/11/9
108,你永远胜过别人,无条件,ddl,2025/11/9
109,人群是那么像羊群,任我行,Lucky,2025/11/9
110,如果痴痴地等某日，终于可等到一生中最爱,一生中最爱（原唱谭咏麟）,漆里箱,2025/11/9
111,为何未能学会起舞便已抱紧你,黑暗中漫舞,生意兴龙女生,2025/11/9
112,绚烂如电，虚幻如雾，哀愁和仰慕,沙龙,枇杷果与小薄荷,2025/11/18
113,让理智再叫着冷静冷静,无人之境,二分之根号五减一,2025/11/18
114,与你说些无聊事挽手几千里,我们万岁,Aya,2025/11/18
115,怀着乐观总有转机,今日,鱿鱼菜片、勇敢摇摇鱼,2025/11/18
116,得不到的永远在骚动，被偏爱的都有恃无恐,红玫瑰,水面上的猫,2025/11/18
117,若你喜欢怪人，其实我很美,打回原形,萌面大瞎,2025/11/18
118,茫茫人生千百次聚头，没有贪心都会厌旧,告别娑婆,Void main,2025/11/18
119,茫茫人生走到了尽头，重生再邂逅,告别娑婆,Void main,2025/11/18
120,苦恋几多次，悉心栽种全力灌注，所得竟不如别个后辈收成时,葡萄成熟时,爆炸,2025/11/18
121,习惯无常才会庆幸,落花流水,是胖桃啊啊啊啊啊啊,2025/11/18
122,极爆裂场面 想再遇确实靠天意,粤语残片,exsztfsddxzztjszjdpddbjdqb,2025/12/20
123,从何时开始忌讳空山无人,任我行,秋辞,2025/12/26
124,如果失忆我渴望再多一次认识你,我们万岁,CARMEN,2026/5/5
125,但是经历过最温柔共振,落花流水,CARMEN,2026/5/5
126,开始时挨一些苦 栽种绝处的花,苦瓜,CARMEN,2026/5/5
127,特别鸣谢你制造更欢乐的我,我们万岁,CARMEN,2026/5/5
128,大概当初我未懂得顾忌，年少率性害惨你,于心有愧,CARMEN,2026/5/5
129,爱涌进对方的骨髓,床头床尾,CARMEN,2026/5/5
130,想说你知整个地球上，无人可使我更想 奔向,天下无双,CARMEN,2026/5/5
131,别心一灰就失去联络,披风,林默,2026/5/5
132,言尽最好于此，留下什么意思，让大家只差半步成诗,失忆蝴蝶,双层吉士堡,2026/5/5
133,讲分开可否不再用憾事的口吻，习惯无常才是庆幸，讲真天涯途上谁是客散席时怎么分,落花流水,养伤可以多快,2026/5/5
134,我感激这年春天，花再开遍祝福相献,四季,脆薯饼趁热吃,2026/5/5
135,别嫌差 别嫌轻 别嫌少,请相信我,zzzzIEAE,2026/5/5
136,从来没细心数清楚 一个夏雨天 一次愉快的睡眠 断多少发线,绵绵,任我十面飘,2026/5/5
137,差一点不必不满,美满人生,YItk,2026/5/6
138,若觉得人没伴侣活着太辛苦 该先吃一口甜品,Shall We Dance,AAA百变阿赵,2026/5/6
139,你说水星它没有卫星好孤独,想哭,鸡中翅miamiamia,2026/5/6
140,你六岁当天 已是我偶像,时光倒流二十年,鸡中翅miamiamia,2026/5/6
141,你爱造梦尽管试 我会合力设想 终于实现的一刻 我会在现场,喜欢一个人,鸡中翅miamiamia,2026/5/6
142,擦光所有火柴难令气氛像从前闪耀 至少感激当日陪着我开甜蜜的玩笑,失恋太少,鸡中翅miamiamia,2026/5/6
143,你不会记得每一个伪装快乐的眼神 沉默了 当你痛哭失声我会打开门,寂寞让你更快乐,鸡中翅miamiamia,2026/5/6
144,我抹角转弯走到这个路口 尚在计划如何讲爱你,不知所谓,鸡中翅miamiamia,2026/5/6
145,风怎么叫，话我知蜜蜂怎笑，星怎不叫嚣，难道怕谁人被骚扰,想听,eMc🌟,2026/5/6
146,时时坏希望，望着坏情况,希望,LL,2026/5/6
147,残忍的单恋非你专利,Katrina,轰轰,2026/5/6
148,羊群如何离弃 打击你我包庇,Special One,鸡中翅miamiamia,2026/5/6
149,一起这种艺术，若果只是漫长忍让，应感激忠心的伴侣,远在咫尺,雪人几时得闲,2026/5/6
150,雨季会降临赤地,1874,Echointherain,2026/5/6
151,每次杀不死你杀不死你也医好你,重口味,EEEE_C,2026/5/8
152,当生命似流连在摩天轮 幸福处随时吻到星空,幸福摩天轮,EEEE_C,2026/5/8
153,集齐了这个那个，把酒高歌，胜过各自拍拖,下周同样时间（再见）,MgCl2,2026/5/8
154,一开始诞下已经苍老，一开始拍翼已追不到,时代巨轮,MgCl2,2026/5/8
155,其实不敢交出因此只嬉戏，忘掉人真的爱人至懂飞,飘飘飘飘,MgCl2,2026/5/8
156,听一听，讲一讲，从而共勉，不想理世界怎么变迁,可一可再,MgCl2,2026/5/8
157,把书本打开翻到某一回，出走一回,吟游诗人,MgCl2,2026/5/8
158,浮光里活出真我，人不算白过,最后派对,Echointherain,2026/5/9
159,亲爱的，闯遍所有路灯，还是让自己疯一下要紧,任我行,林见雨落长安.,2026/5/9
160,要每一根火柴全为这一刻燃烧,失恋太少,太乙大,2026/5/10
161,人不能飞于是努力走,披风,太乙大,2026/5/10
162,有说吧，为牵挂写上壮丽完结篇,那一夜有没有说,太乙大,2026/5/10
163,前路不断，在雪下前，泪要落完,那一夜有没有说,Echointherain,2026/5/17
164,有雪吧，让记忆景象更深远,那一夜有没有说,Echointherain,2026/5/17
165,不理它小爱与大爱，人类太过渺小的最爱,月球上的人,山抹微云,2026/5/17
